Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDR39,OUT027,4312.8602072257345
FDP12,OUT027,2123.978396917417
DRF60,OUT027,5163.844593183414
FDC09,OUT035,1839.7569897223875
FDF50,OUT018,2931.901313126262
FDG28,OUT035,3973.8548834678804
NCE19,OUT017,1018.1714188110345
NCM53,OUT010,-183.42662186503003
NCN18,OUT049,1819.1405747076496
FDF32,OUT035,3283.779379038475
FDF11,OUT013,3902.349131389885
DRI59,OUT049,3624.3237710884714
NCG54,OUT035,2751.186376864076
FDM44,OUT046,1725.3320489296748
FDT57,OUT018,3461.7117432860105
FDV24,OUT046,2450.3791492441233
FDI50,OUT019,1788.3938920545916
FDS09,OUT035,983.3568381685764
NCC31,OUT027,3888.207957896637
FDQ07,OUT019,1626.5937181395711
FDC22,OUT017,3201.19311823076
FDZ56,OUT046,2782.7630830659473
FDZ40,OUT019,-1020.9883048986667
FDS46,OUT027,3388.664270423309
DRD24,OUT045,2168.2696347054007
FDV45,OUT017,3138.5982881357486
FDL26,OUT045,2443.0371504625073
FDA56,OUT018,1746.8136269804963
FDN27,OUT046,1948.9691447541409
FDM20,OUT049,3963.2641714046476
FDO16,OUT017,1479.584068911674
FDL03,OUT035,3252.365617010204
FDE58,OUT046,1918.3062654646783
FDI02,OUT027,3308.018562801386
NCC55,OUT019,-1310.5694925659482
FDR03,OUT018,3044.2673659479624
FDB14,OUT017,1695.624245361556
FDR45,OUT013,3808.727029845366
NCN07,OUT017,2208.4352874550677
FDM51,OUT019,-189.23676221011556
FDT52,OUT027,5339.571520776226
FDL26,OUT046,2528.045725301432
NCZ42,OUT046,3803.032849494877
DRI47,OUT019,445.388507724434
FDW40,OUT013,2288.7770339337876
FDN34,OUT046,2791.487775296715
FDS01,OUT035,2972.8594245474233
NCG55,OUT045,1773.5537850173423
FDC11,OUT035,1516.5644447579543
FDX35,OUT018,3353.5786452447646
NCB06,OUT046,2582.9657471694372
FDR09,OUT019,2183.368670671858
FDC53,OUT017,1699.6497183700849
FDY45,OUT013,4069.449189304447
FDA22,OUT010,782.5434618277068
FDE02,OUT035,1649.4267312577722
FDW21,OUT045,1621.9753430963465
FDV34,OUT046,1302.20835060018
FDS59,OUT049,1862.5076460036362
NCW17,OUT017,2190.6738242241263
NCK54,OUT046,1902.301605019049
FDG17,OUT019,1987.0441631184658
FDG35,OUT017,2980.380258088626
FDD08,OUT010,-1222.8146047023329
NCO07,OUT017,3483.081049077169
FDJ10,OUT010,254.64696668589022
FDW36,OUT017,1822.4946071138256
FDW21,OUT010,-217.2477440163202
FDY19,OUT017,2072.2743429672264
DRE03,OUT013,789.546983426626
NCC55,OUT049,666.1847985030618
FDH52,OUT010,-842.5090909320716
FDO09,OUT017,4334.711129933974
FDU43,OUT045,3797.7709858086746
FDX09,OUT010,856.1112528243539
FDH40,OUT019,-543.751892952685
FDW58,OUT017,1829.9372298186354
FDC47,OUT017,3710.0485704307794
NCR41,OUT035,1593.3024696458742
DRG49,OUT035,3939.3348407917947
FDC52,OUT027,3896.5127237398847
FDY13,OUT046,1302.9953982573352
FDY35,OUT013,835.8047417346388
FDI35,OUT017,3062.9801226678683
NCU18,OUT049,2273.7947260457295
FDY33,OUT018,2272.218931664407
FDC15,OUT027,3883.4751348374557
FDU01,OUT049,3097.5563014601357
NCU42,OUT046,2721.4001985499635
NCV29,OUT018,2549.00742338298
NCY30,OUT017,3016.3140348298475
FDQ46,OUT049,1835.8673779155943
FDG58,OUT027,3927.9737451869587
FDK33,OUT017,3523.54812492177
NCD07,OUT045,1763.1917472975765
NCX29,OUT027,3735.95888143091
NCT42,OUT013,2374.5449057802034
DRN59,OUT035,870.2728359998437
FDI44,OUT035,1404.6220966545516
FDA45,OUT049,2842.138122985183
FDP31,OUT045,1061.1354788619647
FDY01,OUT046,1936.076772817687
FDT09,OUT018,1897.9039650111808
DRH03,OUT027,2961.24558914917
FDA36,OUT018,2708.5632212105993
NCF31,OUT017,2554.605100045417
FDG14,OUT049,2539.7967931220774
FDG28,OUT027,5348.349423349209
FDU14,OUT049,3968.811225655809
FDY47,OUT019,250.05350442259805
FDI56,OUT049,1541.539218750273
DRD01,OUT013,985.1873109612498
FDM22,OUT046,1012.4290138045617
FDH33,OUT013,719.4331208243821
DRZ24,OUT013,1902.3990487863484
NCQ38,OUT046,1735.274264253254
FDO16,OUT027,2801.7148211135354
FDU07,OUT027,3862.489181524841
NCB07,OUT013,3070.8253703933296
FDU48,OUT045,2053.3948477721133
NCM43,OUT045,2558.1970503371267
FDR31,OUT010,473.04527902259724
DRK49,OUT018,402.39441748267564
NCI30,OUT010,1909.9078742846614
DRD60,OUT017,2999.3134019895515
NCG19,OUT046,3701.29587181205
FDH12,OUT035,1753.208178873174
FDM32,OUT035,1623.668236570098
FDM27,OUT035,2600.583237591549
NCU53,OUT027,4095.664442253692
NCQ18,OUT046,1587.566458422385
FDS10,OUT013,2873.388545011083
FDB33,OUT027,4003.679737034312
FDI12,OUT013,1459.6317988595401
NCW42,OUT013,3496.3287357655354
NCC06,OUT018,1753.7723290313297
FDW02,OUT017,2173.4752819626156
NCD43,OUT017,1801.3880029838183
FDM57,OUT018,1104.416270712536
FDA58,OUT017,3867.1548770861846
FDK56,OUT046,3000.7200392047234
FDP52,OUT045,3627.9733122906036
FDW20,OUT018,1718.7707646990748
FDS52,OUT049,1663.7263643149054
NCT29,OUT018,1635.9356743014941
NCL54,OUT013,2793.6830790427484
FDC05,OUT045,3088.0387946123374
FDF34,OUT035,3269.9417476002563
FDP03,OUT027,3488.566838443454
FDD32,OUT010,-480.4206000518461
FDZ10,OUT045,1989.4342363200558
FDZ40,OUT035,979.3906175929587
FDD51,OUT018,405.8314379270305
NCY30,OUT019,932.0890538028325
FDP58,OUT017,3529.5224311626807
FDV49,OUT017,4353.27266606476
FDY24,OUT019,-1022.779284172313
NCO55,OUT017,1838.252791696461
FDR13,OUT017,2097.37108946059
FDS51,OUT017,1175.1030040352925
FDP26,OUT045,1565.7174627110799
NCB54,OUT027,3511.5898338487314
FDF32,OUT017,3296.828015915322
FDN31,OUT018,2755.1253106089425
DRM48,OUT017,718.2553167680453
FDN20,OUT049,2780.2026925800747
DRL01,OUT046,3767.71892165202
FDV56,OUT049,1867.3212111537723
DRH13,OUT027,3168.7550426976522
FDA03,OUT017,2471.8037515743345
FDF47,OUT027,5008.964056381796
FDX32,OUT046,2448.2292486848455
FDX57,OUT049,1648.3571308478568
NCA30,OUT045,2869.935262720188
FDO49,OUT013,918.8493712758645
FDL04,OUT019,-261.82523329448304
DRM48,OUT035,692.8346310334455
FDR16,OUT013,3399.999214273892
NCC19,OUT018,2735.232526431355
NCE42,OUT045,3636.491406439294
FDY24,OUT017,1080.7429048002523
FDH19,OUT049,2847.1330944755464
FDJ46,OUT013,2785.192825060527
FDN45,OUT010,1595.7986342063377
FDY08,OUT035,2378.3822191761283
FDZ37,OUT035,1589.3044550125342
NCT30,OUT045,660.5106456862413
DRY23,OUT018,438.14595719226054
NCZ30,OUT018,1652.1755587183288
FDC44,OUT018,1542.840826361149
FDB45,OUT035,1824.807241610455
FDY04,OUT013,2649.1279056901403
FDM27,OUT046,2538.0069102442503
FDZ43,OUT017,4032.742589274654
FDT39,OUT019,573.7406386552611
NCC06,OUT019,76.39272638490365
FDL15,OUT027,3902.9262000902236
FDL57,OUT017,4240.32056109175
FDU08,OUT046,1685.5759262345819
FDK40,OUT017,4298.146200275049
FDQ12,OUT010,1720.401130505561
FDS48,OUT017,2562.7507518774364
FDP09,OUT045,3294.7822073585994
FDW21,OUT049,1706.007326742838
FDY25,OUT035,3010.202384652599
DRE13,OUT017,1518.0558790972573
FDV43,OUT019,-1155.8719759578235
FDD22,OUT045,1717.6604393467424
FDM46,OUT019,-462.6805753684748
NCO30,OUT010,1001.750835785293
FDM25,OUT046,2864.353092412115
NCN41,OUT049,2012.1639778226527
FDU24,OUT045,1472.5476017635374
FDZ50,OUT046,2963.6716087940586
FDP45,OUT013,4045.8569605974044
NCM54,OUT045,1924.135034971463
FDW10,OUT019,870.9802442214277
FDP20,OUT017,2224.3054888009356
FDK32,OUT046,2534.614698532605
FDN52,OUT049,1471.0704190514807
FDM58,OUT045,1777.350082343357
FDZ46,OUT027,3220.9959271669795
NCA18,OUT018,1570.3726357311243
FDD35,OUT046,2041.4990927656472
NCK31,OUT035,915.9994235373888
FDI40,OUT027,3068.6515562082495
FDT50,OUT019,-344.34180942803505
NCT06,OUT046,2637.5366742709884
FDT31,OUT035,3123.9097559073416
FDT45,OUT049,926.831810094518
FDT13,OUT045,2948.767062382947
FDO50,OUT045,1433.4933655762143
NCU18,OUT010,296.8181288479245
NCR54,OUT049,3097.8345117571153
NCO18,OUT018,2529.83881430568
FDU09,OUT045,909.0785107112606
FDT13,OUT018,2739.5660287129285
FDE09,OUT046,1898.4582794628222
NCK53,OUT019,-268.5364204496291
FDG45,OUT049,3482.1921209405846
DRH15,OUT035,803.848782097004
FDO21,OUT019,1704.9659655828
FDD14,OUT027,4336.269258211687
FDC09,OUT046,1789.5542154763389
FDH45,OUT027,2242.8426827011717
FDV32,OUT046,1144.271723134283
FDG12,OUT035,2073.5186650684336
FDS32,OUT013,2353.766574727051
NCL55,OUT018,3669.9375143914367
DRE01,OUT035,3889.242234724792
DRE15,OUT049,1280.672239578591
NCL42,OUT045,3807.7646878983214
FDP31,OUT013,1126.5155425590783
FDN33,OUT018,1256.7651602390542
FDZ59,OUT046,2705.4995646745665
FDE45,OUT010,958.8906348438468
FDJ07,OUT013,1950.1532856175763
FDQ45,OUT018,2704.661667683118
FDM33,OUT027,4901.91455289672
FDO15,OUT010,-611.5611545863649
FDM46,OUT013,1492.843805828612
FDR03,OUT045,3258.131712125454
FDY49,OUT018,2455.4279983758024
FDQ60,OUT045,1879.092082513249
FDW10,OUT049,2856.8765810568
FDO51,OUT049,857.0110231017898
FDJ40,OUT018,1494.5428339841455
FDS20,OUT018,2654.4383485465805
FDU45,OUT013,1880.5909210451355
FDV02,OUT035,2750.8344771138363
FDN09,OUT046,3875.4295819069957
NCM55,OUT027,4390.192954774626
FDN23,OUT018,2081.623978404881
FDY31,OUT010,444.0747005522426
FDW03,OUT010,-134.58259184526105
FDD14,OUT046,2950.7217038067756
FDV23,OUT017,2150.174906436354
DRI03,OUT045,2706.8870202539692
FDN13,OUT035,1680.9369273579505
FDF45,OUT027,2528.159796478285
FDU46,OUT035,1568.2656145926012
FDB57,OUT049,3655.5331601413054
FDV12,OUT049,1721.1066135060682
FDQ58,OUT013,2449.334695630023
NCA18,OUT017,1969.8945059051475
FDH52,OUT049,1100.278629804423
FDM24,OUT018,2160.421986896239
NCP43,OUT027,4315.154174142735
NCO18,OUT019,884.0811328621057
FDM32,OUT017,1627.8209734464617
NCL07,OUT017,778.2406642262795
FDK03,OUT013,4030.1068040120444
FDP59,OUT017,1839.2006941964937
FDQ24,OUT049,4028.9565424796165
FDQ16,OUT018,1463.0409839592467
FDU44,OUT013,2666.3175449430855
FDH28,OUT010,-1267.9272369498358
FDV28,OUT019,-1325.7309260661568
FDM22,OUT045,875.7478127170034
FDR56,OUT046,3219.7480120126565
FDV39,OUT049,3191.451352369695
FDU37,OUT019,-544.1973705894488
FDQ11,OUT010,2217.387565140627
FDX02,OUT045,3436.2233642228675
NCS42,OUT018,1185.1332241555647
FDY57,OUT027,2997.302179055594
FDB21,OUT049,3882.260990669689
FDE28,OUT017,3773.8101552210137
FDQ55,OUT017,2053.1676813058584
FDA48,OUT049,3558.867711488754
FDZ19,OUT045,2736.6544439633435
NCC43,OUT045,3881.16899336972
NCV18,OUT046,1332.5219433712773
NCA42,OUT018,2232.6283616748406
FDY45,OUT046,4095.2188868865196
NCC30,OUT045,2751.5351356280444
FDM57,OUT013,1449.0000455089903
FDL09,OUT010,733.9880878370313
FDB09,OUT027,3482.952817563404
FDT44,OUT035,2023.238714604231
NCT06,OUT027,4033.2653058149153
FDX26,OUT049,2912.2079914388014
FDK32,OUT013,2444.9301182093477
DRA12,OUT046,2310.3808006628533
FDO46,OUT010,1125.2972107285896
FDE52,OUT013,1451.7104928880726
NCH42,OUT045,3552.9628601399163
FDV08,OUT035,854.9146671695053
FDB47,OUT018,3050.8514427836635
FDC28,OUT010,-160.79580805105797
FDD22,OUT046,1857.162166959446
FDS07,OUT027,3321.424891722316
DRI13,OUT045,3358.89379408503
FDG32,OUT018,3246.0697994474613
FDU14,OUT017,4061.0878051056497
FDD28,OUT019,-952.3277531622007
NCP41,OUT017,1906.8596519429266
FDS08,OUT049,2870.541092627085
FDX47,OUT045,2510.125526516931
FDC53,OUT019,-280.3738030937966
FDQ19,OUT035,4001.7326278826367
FDL14,OUT045,2489.7147530456714
FDM33,OUT019,1543.0975429499813
FDA51,OUT045,1733.9948432433157
FDZ27,OUT018,514.4591797493194
FDT04,OUT046,672.5540942624357
DRC13,OUT049,2079.3469306439656
FDR16,OUT027,4852.173741316976
FDQ03,OUT027,5223.390290860421
FDE38,OUT035,2802.3606070487003
DRH23,OUT027,2364.061522053773
FDT11,OUT019,1144.7964616766258
FDD09,OUT035,2996.6691537252773
FDR40,OUT045,1309.6785460496612
FDX07,OUT017,3140.320694854541
FDR07,OUT035,1688.7660943784285
FDA51,OUT017,1952.1889330816484
FDT59,OUT019,1770.2115924539394
FDF20,OUT017,3277.0237877951586
FDR13,OUT045,1866.5749000704673
FDY26,OUT049,3390.363267820634
FDW04,OUT017,2239.9062214851874
FDK52,OUT017,3696.4440063585935
FDN60,OUT049,2544.7179376442364
FDM09,OUT019,836.8987584875285
FDP46,OUT049,1463.251319846764
FDB50,OUT019,-634.0235883480782
NCQ29,OUT049,4114.791459336324
FDP16,OUT027,5305.845360745239
FDX33,OUT018,2309.509001876504
FDP07,OUT010,1210.5515165265097
FDN22,OUT046,4023.4882783391804
FDF39,OUT049,4203.4839994656795
FDS21,OUT017,1188.8798955936509
NCM42,OUT013,1700.5922457078414
FDK50,OUT019,744.7444906980818
DRF13,OUT027,3777.363591813235
FDH35,OUT018,2359.724637695297
FDP60,OUT018,1330.6601222713798
DRJ49,OUT027,3520.984265679581
NCT42,OUT019,446.1266818688746
FDE38,OUT049,2754.3163763296907
FDI04,OUT049,3213.424435999652
NCH54,OUT045,2413.2892556514707
FDT56,OUT049,1083.9287480356725
DRD15,OUT018,3360.7724045300274
FDV58,OUT013,3112.320104823142
FDP21,OUT049,3069.4835886349174
FDH05,OUT013,3718.9448253793526
FDR10,OUT027,4028.544922926143
NCP06,OUT045,2288.4457030425547
FDF33,OUT049,1968.684900395674
DRK37,OUT013,3016.6202290157235
DRH49,OUT045,1297.7020369177771
FDT58,OUT013,2681.475038995821
FDD41,OUT018,1416.857257441152
FDP40,OUT018,1527.8511248962168
FDM51,OUT027,3144.8195485519827
FDO45,OUT010,-468.35358871561766
FDW33,OUT010,-227.67475062106678
FDY24,OUT045,906.3704584191582
FDB10,OUT010,1827.7776963539945
FDM40,OUT035,2305.572541811038
NCI06,OUT017,2982.299444742268
FDW12,OUT019,447.62255564863153
FDX48,OUT027,3968.748401305318
NCW05,OUT027,3137.2769164770434
FDX27,OUT017,1664.221188988915
DRM37,OUT045,3045.01925916264
FDA38,OUT045,3698.9516163105873
FDR36,OUT046,757.5499232048896
FDZ45,OUT046,3189.0357189685456
FDG05,OUT017,2675.399979171503
FDK28,OUT013,4088.3883103014523
FDV47,OUT045,1338.542751436078
FDN21,OUT045,2479.593881991561
FDP20,OUT027,3569.5373747525737
FDI35,OUT045,2860.214470768129
DRY23,OUT013,662.9990479735861
FDA56,OUT017,2160.3666298578464
FDB09,OUT013,2038.3199595025362
NCO26,OUT027,3291.177125277318
FDQ49,OUT018,2274.7213140434324
FDI52,OUT027,3371.976207951113
FDZ44,OUT027,3374.617571858791
FDZ09,OUT018,2316.1676575523015
FDY03,OUT049,1907.7613153723214
NCG42,OUT017,2155.394286761104
DRI13,OUT027,4886.986459838852
FDQ32,OUT013,2122.168869224741
FDW16,OUT035,1591.9935169475357
FDU27,OUT046,845.9758350273914
FDR28,OUT010,708.6091031306569
FDQ49,OUT010,662.8779508290027
FDS37,OUT046,1951.783032105639
FDW26,OUT018,3203.251161232605
FDX12,OUT018,3587.0828828209924
NCP06,OUT013,2400.4136644716054
FDW45,OUT010,401.4342051635176
NCN30,OUT049,1554.9255014524388
FDN24,OUT049,919.9228357810352
NCL41,OUT027,2013.4764871429652
FDR02,OUT019,-159.5110229952552
FDD09,OUT010,1008.2658509380562
FDS33,OUT010,-443.3296440250124
FDU22,OUT045,1840.7855721182423
FDI53,OUT013,2613.514114928068
DRH01,OUT049,2805.3400586010976
FDX32,OUT013,2377.166710286183
NCP30,OUT018,368.33314827449794
FDB60,OUT045,3058.9496601659193
FDB14,OUT049,1617.4409069416724
NCP02,OUT035,1029.463577518094
FDJ10,OUT017,2402.612026733099
FDG34,OUT046,1879.981471229592
NCB18,OUT017,1532.5508427259774
FDM16,OUT049,1291.6811281695263
FDW25,OUT018,1129.042780439515
FDB35,OUT010,-368.3798491079506
DRN11,OUT013,2291.859995165956
FDF41,OUT019,1954.9765174691856
FDH16,OUT045,1346.3595073504548
NCQ50,OUT018,3057.3560170547134
DRH23,OUT018,639.1454776180617
DRJ37,OUT013,2427.9089705230435
DRJ24,OUT027,4341.135644140828
FDY16,OUT035,3014.9671142170555
FDQ27,OUT045,1688.0631071910175
FDZ33,OUT045,2288.8155675462185
FDF29,OUT045,2069.151369473315
FDA08,OUT049,2728.1825015003706
FDG31,OUT046,1140.2671628196258
FDE34,OUT019,1079.3159878330043
NCR30,OUT027,2614.646301139641
FDV33,OUT035,4220.205684686516
DRZ24,OUT018,1648.1917082557193
NCL54,OUT035,2812.228279556206
FDR12,OUT049,2853.3792760847864
NCC54,OUT046,3847.170901127305
DRN59,OUT013,822.9937357407325
FDX50,OUT019,-174.55780380565557
FDV31,OUT027,4302.780547826245
NCA29,OUT027,4169.451084772125
FDW60,OUT049,2922.8592288521177
FDX08,OUT017,3083.4587087906402
DRD49,OUT013,3711.9257104199205
FDD33,OUT046,3722.994189272431
FDW35,OUT013,769.272455492217
FDJ36,OUT017,1824.9158281985583
FDV51,OUT035,2753.7367458084773
FDW36,OUT046,1765.4475034312927
FDH35,OUT046,2703.7595864587056
NCS30,OUT027,3498.2059367292677
FDN49,OUT017,826.4522486859933
FDL08,OUT018,3647.5798458401114
FDI09,OUT013,4032.7835092286114
FDP19,OUT018,1795.3193410152744
FDU21,OUT010,-1317.5413741545053
NCP41,OUT045,1674.49315632027
FDY10,OUT013,1834.6472411665018
FDP12,OUT018,397.04837675605086
NCN26,OUT049,1889.2492866372631
FDK44,OUT013,2784.0896352825366
FDC28,OUT049,1784.8764977480605
FDJ41,OUT027,5589.106177439229
NCT29,OUT035,2067.5358940999868
NCH42,OUT019,1686.059897378509
FDU60,OUT018,2423.980104965289
FDS02,OUT045,2982.7695943761646
FDC51,OUT046,2041.1427288173
FDU03,OUT013,2964.1332004717115
FDX39,OUT045,3340.636981662683
NCY05,OUT010,-1295.9386140359275
NCL06,OUT027,5512.328389381175
FDD32,OUT035,1493.3081222990877
NCN41,OUT045,1898.5522021873185
NCX53,OUT049,2312.2191849865194
FDU57,OUT019,507.9783203925326
FDQ23,OUT046,1745.4368140180595
FDQ52,OUT045,3826.6192802622536
FDC14,OUT045,697.8023972604569
FDY09,OUT035,2908.743868799269
FDQ28,OUT045,2448.532973305657
FDV25,OUT046,3548.807673612464
FDJ07,OUT035,1982.7201932985045
DRB25,OUT049,1731.944893517284
FDK52,OUT019,1627.1901980247349
FDY52,OUT027,2479.207738833531
FDB28,OUT046,3138.0049672185705
FDT36,OUT035,703.1841518750298
FDV25,OUT017,3692.678656049291
NCN07,OUT027,3524.3914301863842
FDC57,OUT017,3282.5209952321893
FDQ03,OUT018,3504.7837197116314
FDU23,OUT017,2819.988392888379
NCX41,OUT035,3465.1669499291456
NCD06,OUT035,833.3830710642069
FDW08,OUT045,1631.9999075857486
NCU29,OUT017,2428.7561358833627
NCE06,OUT013,2551.2008634484373
FDV52,OUT010,-41.874188412417425
FDB02,OUT017,3031.0290363674285
NCR18,OUT045,638.4398482534307
FDK16,OUT049,1572.0454657523514
NCQ29,OUT010,2135.6890254361933
FDZ01,OUT019,-135.25728832249297
FDW27,OUT035,2620.5826252098923
FDD17,OUT018,3468.6078618508764
FDW39,OUT013,2893.237835605207
DRH59,OUT045,1131.543664694953
FDS52,OUT013,1663.6163466673315
FDU40,OUT027,4526.117592196955
NCF54,OUT013,2755.749416414619
FDH46,OUT045,1641.523426495798
NCP14,OUT049,1671.797739560643
FDH50,OUT049,3080.361227307425
DRF15,OUT010,501.7911471280386
FDV27,OUT027,2919.2873607194924
NCJ06,OUT049,1946.7856126861443
FDN02,OUT018,3001.1490645450394
FDQ51,OUT049,881.2414390047634
FDQ07,OUT017,3733.452761418157
FDS45,OUT049,1690.0479845327063
NCJ06,OUT045,1850.2976510316075
FDD36,OUT035,1992.80951311221
FDY25,OUT045,2875.014819473523
FDU52,OUT046,2492.1077780242194
DRK47,OUT017,3705.3145576599636
NCL30,OUT017,2162.5779629638128
FDN22,OUT035,4084.5928654957243
